Path ID,ADV [Corrected]
37-40,7.35
136-3024,1.15
34-3081,1.07
21-125,10.46
108-31,27.41
69-190,12.3
104-3071,35.14
127-116,187.45
26-111,5.35
69-26,15.37
152-165,63.5
156-191,41.52
60-139,9
34-194,5.37
54-142,14.54
69-86,45.3
110-68,16.13
34-3102,1.32
76-17,52.07
81-60,45.09
166-17,10.4
29-142,45.34
114-129,16.11
69-166,4.01
146-3114,1.03
74-21,22.98
116-122,31.35
185-122,1030.3
70-3024,156.22
106-131,5.44
193-103,27.39
17-165,3.53
131-176,49.27
75-3102,23.15
150-179,66.09
125-104,26.29
176-3102,1073.79
115-131,7.56
106-127,32.42
191-47,6.59
149-185,16.07
192-3024,5.17
104-47,3.57
106-88,28.23
64-26,56.75
68-47,5.49
103-193,10.55
194-3081,219.21
44-142,2.8
74-18,25.7
165-152,20.37
149-26,1.02
40-16,48.77
35-130,2.09
158-103,0.93
181-85,371.27
75-136,4.33
156-131,11.91
66-103,30.86
149-139,31.18
37-179,1.08
21-75,7.13
177-86,34.02
69-158,1.45
107-34,1.43
28-122,227.81
125-11,10.3
26-139,6.13
136-16,5.41
29-179,9.78
20-54,34.22
131-11,17.49
194-86,432.95
60-74,10.72
191-129,28.53
146-18,18.07
40-130,7.51
24-75,62.7
41-68,5.52
181-34,63.39
156-166,75.11
149-171,4.46
111-139,8.47
40-43,34.73
40-18,31.05
75-176,46.19
176-100,517.06
66-3101,27.55
190-68,13.86
60-176,11.83
29-146,15.06
34-130,5.83
135-3081,13.92
85-70,540.96
190-108,17.7
31-54,76.97
142-47,8.81
150-43,14.02
76-88,174.75
158-176,6.23
20-16,81.77
190-136,5.56
149-43,0.68
11-111,3.23
145-136,12.04
150-191,124.54
127-117,327.45
68-70,108.16
190-179,11.29
11-171,20.82
117-76,93.94
37-27,2.01
156-41,12.75
191-18,64.05
27-81,0.9
18-139,4.46
122-192,58.77
54-192,4.93
146-31,25.69
29-40,27.79
135-54,26.62
192-115,68.53
44-166,4.45
60-192,3.68
181-152,380.65
171-103,161.69
181-108,225.07
70-179,130.26
129-108,31.01
110-31,19.93
37-66,9.26
20-166,4.71
150-181,205.06
75-86,68.66
85-104,233.21
142-28,83.22
181-171,421.62
194-156,165.03
86-27,8.72
68-179,34.75
16-166,6.51
171-104,76.39
26-35,12.23
29-29,205.81
125-54,15.72
75-31,48.23
171-40,46.75
192-107,15.07
171-108,112.17
171-100,127.48
194-136,24.4
181-114,189.47
131-3071,23.24
116-3114,9.95
171-131,72.34
28-135,11.15
107-3114,4.16
114-139,12.22
194-43,23.17
116-142,15.05
185-125,303.96
177-150,13.16
136-81,6.43
171-75,168.32
75-3081,16.88
37-86,3.98
75-3071,25.83
64-37,60.7
88-3102,555.13
192-41,2.82
171-122,228.34
142-125,28.69
88-20,262.36
106-194,29.47
166-110,3.14
106-192,12.91
152-156,138.31
190-44,5.04
114-130,24.64
18-145,15.95
20-69,27.96
69-179,4.33
60-165,9.56
114-47,2.84
70-18,174.19
116-149,10.25
191-81,182.51
29-130,22.44
185-3102,233.28
70-191,262.23
54-24,26.69
125-60,5.41
34-26,6.11
54-37,23.44
70-145,214.99
100-3101,161.77
139-193,6.94
176-3118,1052.3
